index,Bayesian_POS_OOS_rate,Bayesian_POS_beta_rate,Bayesian_POS_alpha_level,Bayesian_POS_lost_sales,Bayesian_POS_pinball_loss,EHASTRA_EH_NUMMER,Magazine
0,0.0,1.0,1.0,89.0,0.3068965517241379,EHA0089518,A
1,0.0,1.0,1.0,113.0,0.389655172413793,EHA0101910,A
2,0.0,1.0,1.0,103.0,0.3551724137931033,EHA0106382,A
3,0.0689655172413793,0.9913793103448276,0.9310344827586208,120.0,0.4689655172413792,EHA0158067,A
4,0.0,1.0,1.0,86.0,0.2965517241379309,EHA0184875,A
5,0.0,1.0,1.0,190.0,0.6551724137931033,EHA0231386,A
6,0.0,1.0,1.0,99.0,0.3413793103448276,EHA0261979,A
7,0.0689655172413793,0.9848214285714284,0.9310344827586208,101.0,0.4586206896551724,EHA0307318,A
8,0.1034482758620689,0.9704081632653062,0.896551724137931,45.0,0.293103448275862,EHA0335024,A
9,0.0,1.0,1.0,99.0,0.3413793103448276,EHA0372748,A
10,0.0,1.0,1.0,67.0,0.2310344827586206,EHA0385575,A
11,0.0,1.0,1.0,60.0,0.2068965517241379,EHA0398972,A
12,0.0,1.0,1.0,155.0,0.5344827586206895,EHA0400471,A
13,0.0,1.0,1.0,46.0,0.1642857142857142,EHA0561956,A
14,0.0,1.0,1.0,57.0,0.1965517241379309,EHA0673832,A
15,0.0,1.0,1.0,178.0,0.6137931034482758,EHA0720314,A
16,0.0,1.0,1.0,80.0,0.2758620689655172,EHA0989127,A
17,0.0,1.0,1.0,163.0,0.5620689655172413,EHA1030471,A
18,0.0,1.0,1.0,85.0,0.293103448275862,EHA1148638,A
19,0.0,1.0,1.0,83.0,0.286206896551724,EHA1177798,A
20,0.0,1.0,1.0,177.0,0.6103448275862067,EHA1234526,A
21,0.0,1.0,1.0,66.0,0.2275862068965516,EHA1235246,A
22,0.0,1.0,1.0,219.0,0.7551724137931033,EHA1292325,A
23,0.0,1.0,1.0,102.0,0.3517241379310344,EHA1425987,A
24,0.0,1.0,1.0,66.0,0.2275862068965516,EHA1502158,A
25,0.0,1.0,1.0,129.0,0.4448275862068964,EHA1691847,A
26,0.0,1.0,1.0,44.0,0.3142857142857142,EHA1694744,A
27,0.0,1.0,1.0,60.0,0.2068965517241379,EHA1765650,A
