index,Agrawal_OOS_rate,Agrawal_beta_rate,Agrawal_alpha_level,Agrawal_lost_sales,Agrawal_pinball_loss,EHASTRA_EH_NUMMER,Magazine
0,0.0,1.0,1.0,82.0,0.2827586206896551,EHA0089518,A
1,0.0,1.0,1.0,62.0,0.2137931034482758,EHA0101910,A
2,0.0689655172413793,0.9876543209876544,0.9310344827586208,85.0,0.3482758620689654,EHA0106382,A
3,0.0689655172413793,0.9827586206896552,0.9310344827586208,95.0,0.4379310344827585,EHA0158067,A
4,0.0689655172413793,0.988095238095238,0.9310344827586208,79.0,0.3275862068965517,EHA0184875,A
5,0.0,1.0,1.0,148.0,0.5103448275862068,EHA0231386,A
6,0.1034482758620689,0.9747126436781608,0.896551724137931,29.0,0.2103448275862068,EHA0261979,A
7,0.0689655172413793,0.98125,0.9310344827586208,90.0,0.4482758620689655,EHA0307318,A
8,0.3103448275862069,0.9096938775510204,0.6896551724137931,40.0,0.4689655172413793,EHA0335024,A
9,0.0,1.0,1.0,41.0,0.1413793103448275,EHA0372748,A
10,0.0,1.0,1.0,38.0,0.1310344827586206,EHA0385575,A
11,0.0344827586206896,0.9913793103448276,0.9655172413793104,33.0,0.1413793103448275,EHA0398972,A
12,0.0,1.0,1.0,112.0,0.3862068965517239,EHA0400471,A
13,0.0357142857142857,0.9876543209876544,0.9642857142857144,20.0,0.0999999999999999,EHA0561956,A
14,0.1379310344827586,0.9696428571428573,0.8620689655172413,34.0,0.2275862068965517,EHA0673832,A
15,0.0,1.0,1.0,150.0,0.5172413793103448,EHA0720314,A
16,0.0,1.0,1.0,51.0,0.1758620689655171,EHA0989127,A
17,0.0,1.0,1.0,139.0,0.4793103448275861,EHA1030471,A
18,0.0,1.0,1.0,27.0,0.093103448275862,EHA1148638,A
19,0.0,1.0,1.0,25.0,0.0862068965517241,EHA1177798,A
20,0.0344827586206896,0.9946949602122016,0.9655172413793104,123.0,0.4793103448275861,EHA1234526,A
21,0.0,1.0,1.0,37.0,0.1275862068965517,EHA1235246,A
22,0.0,1.0,1.0,158.0,0.5448275862068964,EHA1292325,A
23,0.0689655172413793,0.9901477832512317,0.9310344827586208,48.0,0.2206896551724137,EHA1425987,A
24,0.0,1.0,1.0,42.0,0.1448275862068965,EHA1502158,A
25,0.0344827586206896,0.9947089947089948,0.9655172413793104,102.0,0.3793103448275861,EHA1691847,A
26,0.0714285714285714,0.9841269841269842,0.9285714285714286,20.0,0.2571428571428571,EHA1694744,A
27,0.1379310344827586,0.9655172413793104,0.8620689655172413,35.0,0.2310344827586207,EHA1765650,A
28,0.0,1.0,1.0,82.0,0.282758620689655,EHA1804454,A
